instrument,strike,expiration,option_type,underlying_price,mark_price,mark_iv,bid,ask,oi,volume,greeks,timestamp
ETH-27MAR26-5600-P,5600.0,1774598400000,put,4018.1,0.4644,69.65,0.3945,0.5595,43.0,0.0,"{'delta': -0.69471, 'gamma': 0.00019, 'vega': 9.12994, 'theta': -2.07191, 'rho': -19.58138}",2025-10-25T00:01:15.970868
ETH-27MAR26-5800-C,5800.0,1774598400000,call,4018.1,0.0634,69.92,0.063,0.064,3590.0,50.0,"{'delta': 0.27999, 'gamma': 0.00018, 'vega': 8.77009, 'theta': -1.99805, 'rho': 3.65872}",2025-10-25T00:01:16.253732
ETH-27MAR26-5800-P,5800.0,1774598400000,put,4018.1,0.5069,69.92,0.436,0.603,15.0,0.0,"{'delta': -0.72001, 'gamma': 0.00018, 'vega': 8.77009, 'theta': -1.99805, 'rho': -20.72633}",2025-10-25T00:01:16.512511
ETH-27MAR26-6000-C,6000.0,1774598400000,call,4018.3,0.057,70.23,0.0565,0.0575,6945.0,121.0,"{'delta': 0.25699, 'gamma': 0.00018, 'vega': 8.40054, 'theta': -1.92232, 'rho': 3.37832}",2025-10-25T00:01:16.781307
ETH-27MAR26-6000-P,6000.0,1774598400000,put,4018.3,0.5503,70.23,0.4785,0.6475,1.0,0.0,"{'delta': -0.74301, 'gamma': 0.00018, 'vega': 8.40054, 'theta': -1.92232, 'rho': -21.84759}",2025-10-25T00:01:17.046255
ETH-27MAR26-6200-C,6200.0,1774598400000,call,4018.3,0.0514,70.55,0.051,0.052,1481.0,10.0,"{'delta': 0.23598, 'gamma': 0.00017, 'vega': 8.02517, 'theta': -1.8448, 'rho': 3.1188}",2025-10-25T00:01:17.302934
ETH-27MAR26-6200-P,6200.0,1774598400000,put,4018.3,0.5944,70.55,0.5215,0.6925,0.0,0.0,"{'delta': -0.76402, 'gamma': 0.00017, 'vega': 8.02517, 'theta': -1.8448, 'rho': -22.94797}",2025-10-25T00:01:17.560739
ETH-27MAR26-6400-C,6400.0,1774598400000,call,4018.45,0.0465,70.94,0.046,0.047,2082.0,0.0,"{'delta': 0.21716, 'gamma': 0.00016, 'vega': 7.65746, 'theta': -1.76989, 'rho': 2.88332}",2025-10-25T00:01:17.830266
ETH-27MAR26-6400-P,6400.0,1774598400000,put,4018.45,0.6393,70.94,0.566,0.738,0.0,0.0,"{'delta': -0.78284, 'gamma': 0.00016, 'vega': 7.65746, 'theta': -1.76989, 'rho': -24.02433}",2025-10-25T00:01:18.085090
ETH-27MAR26-6500-C,6500.0,1774598400000,call,4018.45,0.0443,71.14,0.0435,0.045,52090.0,0.0,"{'delta': 0.2084, 'gamma': 0.00015, 'vega': 7.47552, 'theta': -1.73264, 'rho': 2.77285}",2025-10-25T00:01:18.335943
ETH-27MAR26-6500-P,6500.0,1774598400000,put,4018.45,0.6619,71.14,0.588,0.761,0.0,0.0,"{'delta': -0.7916, 'gamma': 0.00015, 'vega': 7.47552, 'theta': -1.73264, 'rho': -24.55522}",2025-10-25T00:01:18.590404
ETH-27MAR26-6600-C,6600.0,1774598400000,call,4018.47,0.0422,71.35,0.0415,0.043,234.0,0.0,"{'delta': 0.20014, 'gamma': 0.00015, 'vega': 7.29787, 'theta': -1.69664, 'rho': 2.66823}",2025-10-25T00:01:18.848713
ETH-27MAR26-6600-P,6600.0,1774598400000,put,4018.45,0.6848,71.35,0.6105,0.7845,0.0,0.0,"{'delta': -0.79986, 'gamma': 0.00015, 'vega': 7.29777, 'theta': -1.69661, 'rho': -25.08033}",2025-10-25T00:01:19.103146
ETH-27MAR26-6800-C,6800.0,1774598400000,call,4018.45,0.0382,71.68,0.0375,0.039,1310.0,10.0,"{'delta': 0.18423, 'gamma': 0.00014, 'vega': 6.93716, 'theta': -1.62022, 'rho': 2.46617}",2025-10-25T00:01:19.357762
ETH-27MAR26-6800-P,6800.0,1774598400000,put,4018.45,0.7306,71.68,0.6555,0.831,0.0,0.0,"{'delta': -0.81577, 'gamma': 0.00014, 'vega': 6.93716, 'theta': -1.62022, 'rho': -26.1232}",2025-10-25T00:01:19.609336
ETH-27MAR26-7000-C,7000.0,1774598400000,call,4018.48,0.0349,72.12,0.0345,0.0355,9724.0,1.0,"{'delta': 0.17027, 'gamma': 0.00013, 'vega': 6.60036, 'theta': -1.55091, 'rho': 2.28678}",2025-10-25T00:01:19.867166
ETH-27MAR26-7000-P,7000.0,1774598400000,put,4018.48,0.7769,72.12,0.701,0.8785,0.0,0.0,"{'delta': -0.82973, 'gamma': 0.00013, 'vega': 6.60036, 'theta': -1.55091, 'rho': -27.14345}",2025-10-25T00:01:20.143306
ETH-27MAR26-7500-C,7500.0,1774598400000,call,4018.48,0.028,73.15,0.0275,0.0285,2730.0,0.0,"{'delta': 0.14042, 'gamma': 0.00012, 'vega': 5.81137, 'theta': -1.38509, 'rho': 1.8996}",2025-10-25T00:01:20.404831
ETH-27MAR26-7500-P,7500.0,1774598400000,put,4018.48,0.8944,73.15,0.8165,0.998,0.0,0.0,"{'delta': -0.85958, 'gamma': 0.00012, 'vega': 5.81137, 'theta': -1.38509, 'rho': -29.63279}",2025-10-25T00:01:20.673277
ETH-27MAR26-8000-C,8000.0,1774598400000,call,4018.48,0.0226,74.07,0.022,0.023,5340.0,26.0,"{'delta': 0.11633, 'gamma': 0.0001, 'vega': 5.09896, 'theta': -1.23053, 'rho': 1.58366}",2025-10-25T00:01:20.928718
ETH-27MAR26-8000-P,8000.0,1774598400000,put,4018.48,1.0134,74.07,0.9335,1.119,6.0,0.0,"{'delta': -0.88367, 'gamma': 0.0001, 'vega': 5.09896, 'theta': -1.23053, 'rho': -32.05089}",2025-10-25T00:01:21.183761
ETH-27MAR26-8500-C,8500.0,1774598400000,call,4018.48,0.0186,75.08,0.018,0.019,1953.0,0.0,"{'delta': 0.09756, 'gamma': 9e-05, 'vega': 4.49101, 'theta': -1.09857, 'rho': 1.33461}",2025-10-25T00:01:21.437024
