symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
BTC-28NOV25-128000-C-USDT,112137.58,1232.6882808,38.79,1.8,0.16886919,1.738e-05,87.54409526,-52.13237115,0.4174,2025-10-24 10:05:15.538759
BTC-28NOV25-94000-P-USDT,112137.58,975.83819293,38.95,2.24,-0.10993675,1.093e-05,65.30332481,-46.13796816,0.4951,2025-10-24 10:05:15.874755
BTC-28NOV25-132000-C-USDT,112137.58,819.7905396,54.3,6.43,0.11966511,1.357e-05,69.36440735,-41.9379064,0.4237,2025-10-24 10:05:16.207451
BTC-28NOV25-118000-C-USDT,112144.09,3392.90133659,15.18,8.38,0.36903741,2.633e-05,131.07716436,-77.15105182,0.4125,2025-10-24 10:05:16.538193
BTC-28NOV25-119000-P-USDT,112144.09,9932.98961198,5.91,0.0,-0.65578944,2.572e-05,127.90645989,-75.20515001,0.4121,2025-10-24 10:05:17.168708
BTC-28NOV25-150000-P-USDT,112143.43,38009.03204589,0.0,0.0,-0.97396937,3.74e-06,21.0057,-13.96658661,0.466,2025-10-24 10:05:17.498727
BTC-28NOV25-90000-C-USDT,112143.43,22781.79945712,7.71,0.0,0.92592883,7.77e-06,48.71833135,-36.14456357,0.52,2025-10-24 10:05:17.845284
BTC-28NOV25-127000-P-USDT,112143.43,16223.52872567,10.6,0.0,-0.81614383,1.84e-05,92.38852159,-54.84691117,0.4161,2025-10-24 10:05:18.179931
BTC-28NOV25-86000-C-USDT,112142.09,26559.33672674,0.0,0.0,0.95065181,5.38e-06,35.46120806,-27.67366756,0.5469,2025-10-24 10:05:18.514303
BTC-28NOV25-88000-C-USDT,112142.09,24658.24482286,0.01,0.0,0.9394639,6.48e-06,41.67841154,-31.70791329,0.5332,2025-10-24 10:05:18.839870
BTC-28NOV25-123000-P-USDT,112142.09,12917.36758194,14.49,0.0,-0.74512428,2.24e-05,111.54101504,-65.65730346,0.4125,2025-10-24 10:05:19.172261
BTC-28NOV25-138000-P-USDT,112142.22,26310.80725161,0.0,0.0,-0.92897539,8.97e-06,47.17540901,-29.35555386,0.4361,2025-10-24 10:05:19.510512
BTC-28NOV25-100000-P-USDT,112142.22,1824.27948152,38.12,21.47,-0.19186799,1.698e-05,94.85339459,-62.63237097,0.4628,2025-10-24 10:05:19.835018
BTC-28NOV25-112000-P-USDT,112142.22,5746.82594999,35.41,1.24,-0.47016631,2.725e-05,138.22469748,-82.89816649,0.4203,2025-10-24 10:05:20.167049
BTC-28NOV25-136000-C-USDT,112142.29,550.44162656,22.13,4.47,0.08449532,1.033e-05,53.82538361,-33.15392313,0.4317,2025-10-24 10:05:20.811609
BTC-28NOV25-150000-C-USDT,112142.29,152.44277316,37.67,0.78,0.02602773,3.74e-06,21.00350768,-13.96529812,0.466,2025-10-24 10:05:21.145277
BTC-28NOV25-121000-C-USDT,112142.35,2521.57170021,12.75,6.31,0.29736885,2.421e-05,120.32300189,-70.71401683,0.4119,2025-10-24 10:05:21.473361
BTC-28NOV25-117000-P-USDT,112142.35,8592.89985077,6.21,0.59,-0.60537375,2.682e-05,133.7487659,-78.85252485,0.4132,2025-10-24 10:05:21.803127
