symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
ETH-28NOV25-4500-C-USDT,3977.81,150.11387682,550.7,17.8,0.31277036,0.00042744,4.35839722,-4.19976808,0.6733,2025-10-24 12:32:43.655716
ETH-28NOV25-4900-C-USDT,3977.81,79.70999141,260.8,20.0,0.18950367,0.00032193,3.33416764,-3.26327463,0.6839,2025-10-24 12:32:44.013417
ETH-28NOV25-4700-P-USDT,3977.81,831.50792311,96.6,0.0,-0.75531727,0.00037686,3.86600669,-3.74788713,0.6774,2025-10-24 12:32:44.378604
ETH-28NOV25-6100-P-USDT,3977.81,2136.31539232,20.0,0.0,-0.9588307,9.61e-05,1.08558595,-1.15897957,0.746,2025-10-24 12:32:44.728381
ETH-28NOV25-3200-P-USDT,3977.81,77.26458378,453.8,169.7,-0.14603776,0.00024809,2.81839537,-3.02583785,0.7502,2025-10-24 12:32:45.080111
ETH-28NOV25-5300-C-USDT,3977.81,43.12616124,724.0,14.8,0.11248676,0.00022127,2.35137849,-2.36138109,0.7017,2025-10-24 12:32:45.440868
ETH-28NOV25-3500-C-USDT,3977.81,620.77070243,10.0,9.7,0.7550056,0.0003582,3.86865504,-3.94857955,0.7132,2025-10-24 12:32:45.788293
ETH-28NOV25-4300-C-USDT,3977.81,205.39084669,329.5,10.1,0.39341177,0.00046486,4.73325944,-4.55449678,0.6724,2025-10-24 12:32:46.146978
ETH-28NOV25-2000-C-USDT,3977.82,1982.2655512,0.2,0.0,0.99047674,2.043e-05,0.31429146,-0.45702071,1.0161,2025-10-24 12:32:46.502348
ETH-28NOV25-4500-P-USDT,3977.82,672.29654366,345.0,0.0,-0.68722577,0.00042744,4.35842936,-4.19979871,0.6733,2025-10-24 12:32:46.857962
ETH-28NOV25-7000-C-USDT,3977.8,4.85857444,921.8,0.0,0.01508061,3.878e-05,0.4681997,-0.53425904,0.7973,2025-10-24 12:32:47.516011
ETH-28NOV25-3400-P-USDT,3977.8,117.18240517,208.5,35.3,-0.20822198,0.00032179,3.52900227,-3.65740482,0.7242,2025-10-24 12:32:47.870061
ETH-28NOV25-5300-P-USDT,3977.79,1365.32526211,52.1,0.0,-0.88751508,0.00022127,2.35134435,-2.36135237,0.7017,2025-10-24 12:32:48.229033
ETH-28NOV25-7500-P-USDT,3977.79,3525.10125622,0.0,0.0,-0.99083749,2.434e-05,0.30384815,-0.35850228,0.8244,2025-10-24 12:32:48.583407
ETH-28NOV25-6100-C-USDT,3977.79,14.12481312,295.7,6.5,0.04116791,9.609e-05,1.08554988,-1.15894685,0.746,2025-10-24 12:32:48.933778
ETH-28NOV25-2500-C-USDT,3978.21,1493.33078081,0.2,0.1,0.96701616,6.781e-05,0.90562724,-1.14307199,0.882,2025-10-24 12:32:49.314566
ETH-28NOV25-4600-P-USDT,3978.21,750.00481013,180.9,0.1,-0.72276339,0.00040328,4.12307853,-3.98284633,0.675,2025-10-24 12:32:49.697818
ETH-28NOV25-4900-P-USDT,3978.21,1001.56214087,35.3,0.0,-0.81038527,0.00032204,3.33570185,-3.26459021,0.6839,2025-10-24 12:32:50.049386
ETH-28NOV25-3800-C-USDT,3978.35,426.54326783,318.6,7.6,0.62622062,0.00044714,4.66235338,-4.59299151,0.6884,2025-10-24 12:32:50.407063
ETH-28NOV25-3600-C-USDT,3978.35,551.39452177,23.5,0.0,0.71497016,0.0003921,4.1788076,-4.20762181,0.7036,2025-10-24 12:32:50.796421
ETH-28NOV25-1500-C-USDT,3978.25,2479.3912159,0.0,0.0,0.99764165,5.01e-06,0.09060933,-0.15480076,1.1938,2025-10-24 12:32:51.451880
ETH-28NOV25-5700-P-USDT,3978.25,1745.95177171,20.0,0.0,-0.93264926,0.00014646,1.60409304,-1.6599649,0.7231,2025-10-24 12:32:51.805643
ETH-28NOV25-3000-P-USDT,3978.07,49.83144093,1956.9,171.0,-0.0988222,0.00018091,2.1413661,-2.39488422,0.7815,2025-10-24 12:32:52.162978
ETH-28NOV25-5900-C-USDT,3978.07,18.39550053,302.4,18.3,0.05248991,0.00011861,1.31935109,-1.38675386,0.7345,2025-10-24 12:32:52.524301
ETH-28NOV25-6700-C-USDT,3978.07,6.79748166,954.0,127.1,0.02075303,5.202e-05,0.61485419,-0.6867519,0.7805,2025-10-24 12:32:52.879784
ETH-28NOV25-4800-C-USDT,3977.99,93.35512007,454.6,7.7,0.21560792,0.00034955,3.60194245,-3.50716863,0.6804,2025-10-24 12:32:53.232722
ETH-28NOV25-3400-C-USDT,3977.99,695.13526716,1.0,0.0,0.79183756,0.00032172,3.52857185,-3.65700425,0.7242,2025-10-24 12:32:53.589427
ETH-28NOV25-4700-C-USDT,3977.99,109.35541658,368.7,6.0,0.24474349,0.0003769,3.86669205,-3.74847636,0.6774,2025-10-24 12:32:53.985026
ETH-28NOV25-3800-P-USDT,3977.98,248.32772754,1349.7,62.2,-0.37394036,0.00044724,4.66256636,-4.59320632,0.6884,2025-10-24 12:32:54.344026
ETH-28NOV25-5900-P-USDT,3977.98,1940.41233872,20.0,0.0,-0.94751758,0.0001186,1.31917157,-1.38658889,0.7345,2025-10-24 12:32:54.692781
ETH-28NOV25-5700-C-USDT,3977.97,24.18918259,473.3,34.1,0.06732202,0.00014641,1.60345442,-1.65938653,0.7231,2025-10-24 12:32:55.349984
ETH-28NOV25-4400-P-USDT,3977.97,597.81161735,206.5,1.0,-0.6483032,0.00044842,4.56645923,-4.39421793,0.6724,2025-10-24 12:32:55.728112
ETH-28NOV25-3000-C-USDT,3977.97,1027.82489068,28.5,0.0,0.90113175,0.00018098,2.14194423,-2.39547506,0.7815,2025-10-24 12:32:56.090112
ETH-28NOV25-4200-P-USDT,3977.96,461.59808321,499.7,0.0,-0.56223219,0.00047563,4.84986848,-4.67310646,0.6733,2025-10-24 12:32:56.444830
ETH-28NOV25-8000-C-USDT,3977.96,1.79810346,328.9,5.0,0.00578348,1.573e-05,0.20254052,-0.24642137,0.8501,2025-10-24 12:32:56.800109
ETH-28NOV25-4000-C-USDT,3977.95,322.46172039,499.4,45.8,0.53132736,0.00047639,4.89458116,-4.75202626,0.6784,2025-10-24 12:32:57.152856
ETH-28NOV25-1500-P-USDT,3977.95,1.14165632,78.4,10.3,-0.00235941,5.02e-06,0.09063916,-0.15484836,1.1937,2025-10-24 12:32:57.501238
ETH-28NOV25-5100-C-USDT,3977.95,58.42645081,391.2,53.6,0.14608898,0.00026894,2.81915253,-2.79255554,0.6922,2025-10-24 12:32:57.857639
ETH-28NOV25-8500-P-USDT,3977.95,4523.21091881,20.1,0.0,-0.99622522,1.046e-05,0.13842232,-0.17322842,0.8744,2025-10-24 12:32:58.258872
ETH-28NOV25-4600-C-USDT,3977.95,128.15094997,611.0,12.9,0.27713968,0.00040323,4.12209759,-3.98203403,0.675,2025-10-24 12:32:58.621305
ETH-28NOV25-7000-P-USDT,3977.96,3026.90975981,0.0,0.0,-0.98491623,3.879e-05,0.46830098,-0.53436213,0.7973,2025-10-24 12:32:59.353813
ETH-28NOV25-6200-C-USDT,3977.96,12.4313074,510.4,66.4,0.03657029,8.659e-05,0.98577293,-1.06054894,0.7518,2025-10-24 12:32:59.728651
ETH-28NOV25-4800-P-USDT,3977.96,915.37487348,61.6,0.0,-0.7844264,0.00034952,3.60150623,-3.50680573,0.6804,2025-10-24 12:33:00.081455
ETH-28NOV25-7500-C-USDT,3977.92,2.89182591,356.4,0.0,0.00916408,2.434e-05,0.30390284,-0.35856005,0.8244,2025-10-24 12:33:00.446379
ETH-28NOV25-4300-P-USDT,3977.92,527.51053078,322.3,10.2,-0.60653918,0.00046487,4.7335418,-4.55475099,0.6724,2025-10-24 12:33:00.794228
ETH-28NOV25-8000-P-USDT,3977.84,4023.87797817,0.1,0.0,-0.99421688,1.573e-05,0.20252758,-0.24640763,0.8501,2025-10-24 12:33:01.200176
ETH-28NOV25-5500-C-USDT,3977.84,32.13411824,350.3,11.0,0.0868275,0.00018042,1.94572562,-1.98303505,0.7122,2025-10-24 12:33:01.558012
ETH-28NOV25-4400-C-USDT,3977.84,175.73935764,403.8,47.6,0.35164098,0.00044841,4.56604379,-4.39388074,0.6724,2025-10-24 12:33:01.915951
ETH-28NOV25-5500-P-USDT,3977.84,1554.29411824,35.6,0.0,-0.91317251,0.00018042,1.94572562,-1.98303505,0.7122,2025-10-24 12:33:02.266810
