symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
SOL-14NOV25-300-P-USDT,193.92276294,106.74547207,0.0,0.0,-0.96025161,0.00189502,0.0399667,-0.09194234,0.9705,2025-10-24 08:46:14.107239
SOL-14NOV25-170-C-USDT,193.91999967,29.89668031,0.0,0.0,0.76995891,0.00755433,0.14156576,-0.2893782,0.8624,2025-10-24 08:46:14.442569
SOL-14NOV25-208-C-USDT,193.91999967,10.22446823,1.0,2.0,0.40440527,0.0098018,0.18060985,-0.36301331,0.848,2025-10-24 08:46:14.771276
SOL-14NOV25-220-C-USDT,193.92001799,7.01553675,5.0,5.0,0.30526084,0.00876931,0.16335137,-0.33191455,0.8572,2025-10-24 08:46:15.404153
SOL-14NOV25-190-P-USDT,193.92001799,13.64229847,1.0,1.0,-0.41991931,0.00992627,0.18221537,-0.36486312,0.8448,2025-10-24 08:46:15.732253
SOL-14NOV25-100-C-USDT,193.92001799,94.02131894,0.0,0.0,0.99452786,0.00029365,0.00730414,-0.01981815,1.1447,2025-10-24 08:46:16.059724
SOL-14NOV25-280-C-USDT,193.92000158,1.14434286,0.0,0.0,0.06510668,0.00289823,0.05918284,-0.13182747,0.9397,2025-10-24 08:46:16.390724
SOL-14NOV25-176-P-USDT,193.92000158,7.81573606,0.0,0.0,-0.28271185,0.00849162,0.15765533,-0.31928122,0.8544,2025-10-24 08:46:16.716563
SOL-14NOV25-120-C-USDT,193.92000158,74.29086345,0.0,0.0,0.98057825,0.00098556,0.02201584,-0.05364562,1.028,2025-10-24 08:46:17.049352
SOL-14NOV25-80-C-USDT,193.92000435,113.94525228,0.0,0.0,0.99864541,7.363e-05,0.00207256,-0.00636437,1.2955,2025-10-24 08:46:17.387537
SOL-14NOV25-180-P-USDT,193.92000435,9.25559205,0.0,0.0,-0.32039107,0.00902597,0.1667925,-0.33620656,0.8504,2025-10-24 08:46:17.717945
SOL-14NOV25-180-C-USDT,193.92000435,23.1755964,3.0,3.0,0.67960894,0.00902597,0.1667925,-0.33620656,0.8504,2025-10-24 08:46:18.050972
SOL-14NOV25-260-C-USDT,193.91201511,2.03356833,0.0,0.0,0.10884585,0.00440359,0.08699128,-0.18746818,0.9092,2025-10-24 08:46:18.386402
SOL-7NOV25-192-C-USDT,193.69,12.38864077,3.0,0.0,0.55306788,0.0136159,0.15048909,-0.40739404,0.7631,2025-10-24 08:46:19.023768
